id,search_term,impressions,conversions,cost,account_id
2379,jabon dove,16,0.0,3260000,5555555555
977,desodorante secret clinical,6,0.0,3360000,5555555555
6329,bacardi limon,4,0.0,1430000,5555555555
2044,pantalla 40 pulgadas,14,0.0,3780000,5555555555
2542,seagrams,14,0.0,280000,5555555555
9085,papel higienico petalo ultra jumbo 16 rollos,5,0.0,10000,5555555555
8606,jabón blanca nieves,2,0.0,1280000,5555555555
9772,leche evaporada,54,0.0,120000,5555555555
2229,pantallas de 50 pulgadas baratas,5,0.0,110000,5555555555
5118,nintendo switch oled,166,0.0,3040000,5555555555
183,1800 cristalino,277,0.0,4660000,5555555555
6252,circulation medias,1,0.0,230000,5555555555
5905,soporte para tv xpower 26 a 70,1,0.0,70000,5555555555
264,leche evaporada,12,0.0,1560000,5555555555
7896,danone esencial,7,0.0,180000,5555555555
5614,play station 4,1,0.0,3730000,5555555555
3479,refrigerador 11,2,0.0,990000,5555555555
4627,paw patrol tienda,1,0.0,370000,5555555555
3832,estufa con horno,20,0.0,710000,5555555555
5548,laptop hp 15,1,0.0,2110000,5555555555
3968,refrigeradores walmart precios,2,0.0,940000,5555555555
34,iphone 11,1119,0.0,8560000,5555555555
8432,insecticida mosquitos,1,0.0,950000,5555555555
6289,tijeras para podar pasto walmart,1,0.0,160000,5555555555
5365,pantalla smart,7,0.0,260000,5555555555
935,rexona clinical men spray,1,0.0,150000,5555555555
598,loreal uv defender con color,5,0.0,840000,5555555555
2680,plancha black and decker,4,0.0,540000,5555555555
7547,half and half lyncott,7,0.0,10000,5555555555
2067,celulares en oferta,18,0.0,2780000,5555555555
5125,roku stick,7,0.0,100000,5555555555
710,spray relajante para dormir similares,1,0.0,10000,5555555555
8232,shampoo folicure,25,0.0,240000,5555555555
6205,jabon grisi carbon activado,1,0.0,20000,5555555555
6561,tequila don julio blanco,19,0.0,1340000,5555555555
8892,oxiclean gel,4,0.0,410000,5555555555
8774,raid mosquitos sin olor,2,0.0,10000,5555555555
1911,horno de microondas lg 1.5 pies cúbicos,2,0.0,2820000,5555555555
6782,fisher price,27,0.0,970000,5555555555
7870,evaporada carnation,3,0.0,220000,5555555555
6918,leche carnation,1,0.0,50000,5555555555
2162,xbox serie x 1 tb,5,0.0,1140000,5555555555
5766,hp fd0000la,3,0.0,1980000,5555555555
1028,tampones saba super plus,1,0.0,40000,5555555555
559,papel higiénico,8,0.0,1960000,5555555555
5840,laptop office depot,15,0.0,4150000,5555555555
313,tienda en linea,1,0.0,4820000,5555555555
1292,alimento humedo para gato,2,0.0,2440000,5555555555
3733,refrigerador 9 pies,30,0.0,2350000,5555555555
2164,xbox series x bodega aurrera,17,0.0,680000,5555555555
8500,jabon zote 400 gr,3,0.0,2090000,5555555555
9316,refrigeradores,84,0.0,2620000,5555555555
5412,sansui,70,0.0,280000,5555555555
7916,proteina lala,8,0.0,10000,5555555555
7125,botes para basura con ruedas,7,0.0,2750000,5555555555
1398,ganador premium alimento,1,0.0,940000,5555555555
1805,horno de microondas whirlpool wm1211d,4,0.0,220000,5555555555
6671,vodka absolut,7,0.0,20000,5555555555
7588,sabanas king size tienda,2,0.0,320000,5555555555
3334,refrigeradores en oferta bodega aurrera,1,0.0,660000,5555555555
3219,mejores ofertas en refrigeradores,4,0.0,510000,5555555555
9716,buchanans 12,85,0.0,1950000,5555555555
2293,celulares en oferta,117,0.0,4810000,5555555555
6349,botella tequila 1800,1,0.0,230000,5555555555
2915,aire acondicionado carrier 2 toneladas,1,0.0,4060000,5555555555
621,ultra corega sin sabor,1,0.0,1480000,5555555555
7430,refrescos,2,0.0,940000,5555555555
2255,laptop hp,158,0.0,5000000,5555555555
1585,lavadora mabe aqua saver green,4,0.0,1080000,5555555555
5959,rajas congeladas,5,0.0,200000,5555555555
9963,promodescuentos tienda,1,0.0,5810000,5555555555
9637,impresora multifuncional hp deskjet ink advantage 2375,9,0.0,10000,5555555555
6977,pinol,81,0.0,2920000,5555555555
3678,tienda lavadoras,23,0.0,370000,5555555555
8226,shampoo neutro balance,3,0.0,3400000,5555555555
9373,estufa mabe 6 quemadores,59,0.0,4410000,5555555555
4600,refrigerador lg 24 pies walmart,11,0.0,10000,5555555555
457,bote de basura,24,0.0,10370000,5555555555
7329,refresco color morado,1,0.0,10000,5555555555
6713,triciclos apache,5,0.0,950000,5555555555
9612,playstation 5 spiderman,7,0.0,120000,5555555555
8752,lysol spray,13,0.0,20000,5555555555
1569,cafetera t fal heliora petit,2,0.0,520000,5555555555
5068,samsung a245m,1,0.0,10000,5555555555
9407,lavadora,134,0.0,2920000,5555555555
4578,refrigerador whirlpool,13,0.0,1110000,5555555555
3015,estufa 6 quemadores oferta,3,0.0,2300000,5555555555
5143,xbox series x tienda,11,0.0,450000,5555555555
1659,mini split inverter 1.5 toneladas,1,0.0,7480000,5555555555
6816,pechuga de pollo,110,0.0,2020000,5555555555
7278,coca cola 600 ml,22,0.0,1020000,5555555555
7945,yogurt yoplait para niños,6,0.0,10000,5555555555
2816,refrigerador 13 pies mabe,1,0.0,2540000,5555555555
5177,blu ray wifi,1,0.0,220000,5555555555
1239,pedigree razas pequeñas,4,0.0,1360000,5555555555
1133,spidey juguetes,4,0.0,230000,5555555555
649,bexident gel,46,0.0,390000,5555555555
8018,oikos griego,13,0.0,10000,5555555555
244,chambarete de res tienda,2,0.0,380000,5555555555
719,bomba para colchon inflable,3,0.0,1280000,5555555555
2718,refrigerador hisense 8 pies,1,0.0,4320000,5555555555
8832,ajax citronela farmacia guadalajara,1,0.0,540000,5555555555
3209,french door,12,0.0,770000,5555555555
9452,refrigerador 11 pies,79,0.0,24260000,5555555555
1735,mini split mirage 1 tonelada,5,0.0,5020000,5555555555
5579,celulares sale,1,0.0,460000,5555555555
3443,lavasecadora 7 kg,1,0.0,690000,5555555555
5997,atun dolores premium sams,1,0.0,120000,5555555555
7930,yogurt kefir,4,0.0,10000,5555555555
3559,refrigeradores 9 pies,4,0.0,5000000,5555555555
1099,juego de mesa troca loca,1,0.0,520000,5555555555
2101,nintendo switch,94,0.0,1560000,5555555555
6567,brandy fundador,2,0.0,170000,5555555555
5851,laptops en tienda,4,0.0,390000,5555555555
8288,head shoulders limpieza renovadora,1,0.0,10000,5555555555
941,desodorante garnier,8,0.0,50000,5555555555
3231,refrigerador 18 pies,2,0.0,440000,5555555555
9568,lavadora mabe,14,0.0,1660000,5555555555
2342,nintendo switch,12,0.0,90000,5555555555
3740,refrigerador lg 9 pies,6,0.0,14330000,5555555555
3669,refrigerador midea walmart,2,0.0,4840000,5555555555
9423,congelador,83,0.0,2010000,5555555555
4624,minisplit solo frio,1,0.0,380000,5555555555
6602,hacienda de tepa,45,0.0,660000,5555555555
8425,fabuloso insectos,1,0.0,2600000,5555555555
583,ganador premium adulto razas pequeñas,9,0.0,1030000,5555555555
9097,papel higiénico regio luxury,14,0.0,790000,5555555555
9622,lap top hp,17,0.0,1840000,5555555555
4659,pista spiderman,3,0.0,280000,5555555555
5678,fire stick,30,0.0,400000,5555555555
3193,soriana lavadora mabe,2,0.0,5270000,5555555555
7635,pingüino fisher price,5,0.0,100000,5555555555
4157,oferta de refrigeradores,9,0.0,1530000,5555555555
9011,caja de 20 galones,2,0.0,720000,5555555555
3088,maquina secadora de ropa,1,0.0,680000,5555555555
1442,estufa,32,0.0,2110000,5555555555
2667,purificador de agua casero,1,0.0,280000,5555555555
581,arena para gato tienda selecto,1,0.0,290000,5555555555
7546,crema para batir lyncott,3,0.0,970000,5555555555
5877,telcel oppo a58,1,0.0,1350000,5555555555
9548,refrigeradores,272,0.0,54940000,5555555555
6002,masa para galletas,22,0.0,180000,5555555555
1053,pantiprotectores kotex largos,2,0.0,10000,5555555555
472,papel de baño 32 rollos,1,0.0,2260000,5555555555
9390,lavadora mabe 16 kg,84,0.0,44740000,5555555555
8866,off repelente precio,3,0.0,640000,5555555555
4516,geladeira continental,3,0.0,500000,5555555555
6000,medallones de atún rojo dolores 680 g,1,0.0,350000,5555555555
5137,roku refurbished,1,0.0,20000,5555555555
7678,aros de calamar,1,0.0,3860000,5555555555
7123,crepera t fal 25 cm,2,0.0,510000,5555555555
4276,frigobar costco,1,0.0,920000,5555555555
9658,pantalla 40 pulgadas smart tv,33,0.0,980000,5555555555
3975,soriana refris,1,0.0,650000,5555555555
4450,centro de lavado electrico,2,0.0,5070000,5555555555
7796,tocino tienda,2,0.0,10000,5555555555
1135,dinosaurio imaginext,5,0.0,2020000,5555555555
8095,carnation deslactosada,19,0.0,10000,5555555555
4341,refrigerador 11 pies tienda,1,0.0,3170000,5555555555
7552,topo chico,66,0.0,50000,5555555555
